2010-02-19 13:21:18 Warning: Warning (2): in_array() [<a href='http://php.net/function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [D:\Projects\freegal\app\models\physicalproduct.php, line 106]
2010-02-19 16:02:16 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\cake\libs\debugger.php:663) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:02:55 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\app\controllers\artists_controller.php:119) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:03:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\app\controllers\artists_controller.php:119) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:03:54 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\app\controllers\artists_controller.php:119) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:04:54 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\app\controllers\artists_controller.php:119) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:12:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at D:\Projects\freegal\app\controllers\artists_controller.php:142) in [D:\Projects\freegal\cake\libs\controller\controller.php, line 715]
2010-02-19 16:43:17 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1</span> in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 635]
2010-02-19 16:43:17 Warning: Warning (2): Invalid argument supplied for foreach() in [D:\Projects\freegal\cake\libs\model\datasources\dbo\dbo_mysql.php, line 127]
2010-02-19 16:43:17 Warning: Warning (2): array_keys() [<a href='http://php.net/function.array-keys'>function.array-keys</a>]: The first argument should be an array in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1869]
2010-02-19 16:43:17 Warning: Warning (2): array_filter() [<a href='http://php.net/function.array-filter'>function.array-filter</a>]: The first argument should be an array in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1873]
2010-02-19 16:43:17 Warning: Warning (2): array_values() [<a href='http://php.net/function.array-values'>function.array-values</a>]: The argument should be an array in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1873]
2010-02-19 16:43:17 Warning: Warning (2): array_unique() [<a href='http://php.net/function.array-unique'>function.array-unique</a>]: The argument should be an array in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1949]
2010-02-19 16:43:17 Warning: Warning (2): array_unique() [<a href='http://php.net/function.array-unique'>function.array-unique</a>]: The argument should be an array in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1191]
2010-02-19 16:43:17 Warning: Warning (2): implode() [<a href='http://php.net/function.implode'>function.implode</a>]: Invalid arguments passed in [D:\Projects\freegal\cake\libs\model\datasources\dbo_source.php, line 1410]
